Id,modularity_class
12|36.29,7
37|12.36,0
12|21,6
37|12.21,6
37|0,6
12|37.0,3
11|25,10
36|11,0
13|11.25,10
37|11,0
23|5.16,1
37|23,1
12|37.26,2
37|12.37,3
24|12,5
37|24,5
27|24.12,5
3|24.12,5
36|,4
12|36.13,10
36|33,2
12|36.33,2
12|37.19,12
37|12.37.19,12
36|12,3
9|,0
27|24.3.25,5
37|27,5
1|29.25,7
37|1,7
12|1,7
1|12.36,7
25|3,5
24|,5
32|17,4
37|32,4
12|32,4
36|32,4
12|37.10,11
30|,11
22|34,13
28|22.34,13
12|36.20,9
15|0,6
21|15.0,6
15|25,6
21|,6
0|15.25,6
12|37.12.36.8,3
8|,3
29|12.36,8
1|29,8
21|0.12,6
37|21,6
37|9,0
12|37.9,3
12|37.12.37.4,3
1|12.29,7
37|17,4
12|37.17,4
29|12.37.25,6
12|36.12.37.8,0
7|,8
31|7,8
36|7,8
37|7,8
12|7,10
25|7,10
18|7,8
17|36,4
12|37.27,3
37|12.37.27,3
25|12.37,10
10|,11
25|30,11
37|25,10
1|12.37,7
36|1,7
29|1,7
12|37.15,6
25|12.37.25,10
12|25,10
36|25,2
12|37.5,3
12|37.12.36,8
22|28,13
37|22,13
12|31,8
25|,2
37|12,9
7|12.31,8
29|12.31,8
1|12,7
18|12.31,8
37|12.37.6,12
12|37.12.37.6,3
25|12.31.12,7
29|25,7
19|12,12
37|19,12
36|19,12
12|19,12
20|19,12
6|19.12,12
37|12.33,2
12|37.12.33,2
32|36,4
17|32,4
37|12.6,12
12|37.12.6,12
24|27,5
25|34,9
22|25,13
12|25.34,9
12|36.27,5
37|12.37.16,3
12|37.12.37.16,3
25|1.12,7
12|36.28,13
0|,6
2|36,4
13|36,10
22|36,13
1|36,7
28|,13
9|36,0
31|,8
27|36,5
20|36,12
6|36,12
18|36,0
12|36,0
29|36,8
8|36,2
19|36,4
16|36,7
33|,2
23|36,1
10|36,11
15|36,6
34|,13
21|36,6
4|,11
26|36,4
3|,5
11|36,0
25|36,10
12|33,2
3|12,5
27|12,5
25|18,0
37|18,0
12|37,3
31|12,3
11|12,10
28|12,13
15|12,6
22|12,3
26|12.37,3
16|12,5
17|12,4
32|,4
4|12.37,11
21|12,6
13|12.37,10
23|,1
29|,7
18|,0
34|12,10
5|,1
0|12,6
20|12,9
6|12,5
2|12,2
36|0,6
15|36.0,6
12|36.0,0
29|31,8
37|,7
36|31,8
12|31.12,7
18|31,8
0|12.36,6
28|22.12,9
34|28,9
37|28,13
12|28,13
6|,12
25|6,12
37|6,12
36|6,0
19|6,12
12|6,12
20|6,12
12|36.1,7
12|37.12.37.17,3
36|24.3,5
12|37.25,6
10|4,11
36|4,11
12|36.4,11
12|37.12.21,6
12|4,11
36|17,4
12|36.17,4
13|12.25,10
37|13,10
2|26,3
37|2,3
3|12.36,5
32|12.36,4
10|12.36,11
31|12.36,9
36|12.36,0
17|12.36,4
11|12.36,0
26|12,2
13|,10
15|12.36,6
18|12.36,0
25|12.36,10
17|32.25,4
12|17,3
12|20,9
12|25.17,9
12|37.12.37.19,12
36|18,0
12|36.18,0
34|22,13
28|34,13
12|36.31,8
7|18,8
12|37.24,5
17|32.12.36,4
30|12.37.12.37,11
10|30,11
25|33,10
26|33,2
2|33,2
37|33,2
25|11.12,10
6|20.19.25,12
12|15.12,6
21|15.12,6
0|15,6
37|15,6
36|15,6
12|0,6
36|20,9
6|20.12,12
37|20,9
19|,12
11|9,0
36|9,0
12|9,3
19|9,12
20|,9
37|10,11
25|16,1
12|37.1,3
37|12.37.1,3
12|37.12,2
33|12.37.12,2
25|12.37.12,10
19|12.37.12,12
12|37.23,3
37|12.37.23,3
27|3.12,5
2|25,2
26|2.25,2
36|34,0
12|36.34,0
12|37.21,12
12|37.3,5
12|36.9,0
12|37.12.9,3
37|12.36.8,3
12|25.11,9
22|12.34,13
28|22.12.34,13
36|8,3
37|8,2
12|8,9
12|10,11
25|29,7
1|25,7
12|3,5
12|36.12.36,0
37|4,11
12|37.4,3
18|12.37.12.36,8
28|22.25,13
21|15.36,6
15|,6
16|37,7
0|21,6
25|13,10
30|10.25,11
4|30.10.25,11
12|30,11
37|12.37.21,12
19|12.37.21,12
12|37.12.17,3
12|37.12.37.23,3
0|36.15,6
6|20,12
36|13,10
12|13,10
11|13,10
12|37.12.37.21,3
37|12.37.17,4
16|23,1
5|23,1
12|,5
12|37.22,13
33|26.12,2
13|11.12,10
12|37.28,3
37|12.37.20,3
12|37.12.37.20,3
37|5,1
16|,1
20|25,2
26|25,2
10|25,2
34|25,13
16|25,7
17|25,4
8|25,2
32|25,2
18|25,0
6|25,12
23|25,1
31|25,8
0|25,6
11|25.12.37,10
19|25,12
3|25,5
37|16,7
12|37.16,3
20|12.19,12
12|34,13
36|30,11
12|37.32,3
12|37.13,10
37|12.37.13,10
33|26.2.25,2
12|37.12.1,7
36|12.37.8,0
12|37.12.37.13,3
12|13.12.37,10
25|12.13,10
12|37.18,3
36|29,7
37|12.17,3
36|2,4
19|12.37.25,6
26|,2
37|26,2
12|26,2
12|37.12.37.0,3
12|37.34,3
12|37.25.17,9
30|10.12.36,11
6|20.25,12
12|11,9
25|11,9
37|34,13
12|37.8,0
37|12.37.8,0
24|3.25,5
33|2.12,2
11|18,0
12|18,9
12|37.30,3
12|37.12.37.27,3
12|36.16,1
27|,5
12|37.7,3
25|1.29,8
12|37.12.37.8,3
12|36.12,4
32|12.36.12,4
25|34.12,10
37|30,11
12|16,1
36|16,1
5|16,1
12|37.20,3
12|31.12.36,9
25|17,9
37|25.17,9
37|12.1,7
22|,13
12|22,13
12|34.28,9
12|29,7
12|36.25,0
15|12.37.25,6
29|12.25,10
2|,2
25|2,2
12|2,2
26|2,2
30|4,11
12|37.11,3
12|36.8,3
37|12.9,3
12|36.21,6
12|37.33,3
25|21,6
37|12.37.4,3
12|36.6,0
12|37.6,12
30|10.36,11
12|36.11,0
25|12.7,10
24|3,5
17|,4
25|27,5
36|28,13
12|36.7,8
12|37.2,3
12|37.12.37.24,5
36|26.2,2
20|19.25,12
21|0.15.25,6
12|27,5
37|12.27,5
12|37.12.37,11
37|12.37.24,5
36|21,6
12|36.19,12
37|3,5
1|29.12.31,8
34|28.22.25,13
13|25.12.37.12,10
12|37.12.37.1,3
25|4,10
11|,0
36|3,5
37|12.37.0,3
12|37.12.27,5
19|20.6,12
1|,7
36|27,5
