url,num,type,week
career_development_guide,18,reading,2
zeal_the_tom_dooley_story,19,video,5
seven_themes,20,reading,5
three_key_questions,0,reading,4
the_discipline_of_prayer,1,reading,3
st_andre_bessette,21,video,4
one_life_changing_class,2,video,9
cultural_competence,3,video,10
father_greg_boyle,6,video,5
the_call,4,video,11
father_ted_fisher_of_men,5,reading,12
family_and_hope,23,video,12
activate_irish_compass_account,7,reading,2
learn_personal_finance,26,video,9
i_am_not_your_asian_stereotype,27,video,10
building_a_financial_future,33,reading,9
week0_weekly_prompt_questions,25,reading,0
prayer,29,video,3
capstone_instructions,8,reading,12
integration3_instructions,9,reading,5
building_a_bridge,10,reading,11
Coursework,12,Coursework,-
beloved_friends_and_allies,30,reading,11
what_is_liberal_education,13,reading,1
week0_weekly_prompt_questions,14,reading,0
grit_the_power_of_passion,22,video,8
how_to_be_better_at_stress,32,reading,7
heart_zeal_family,15,video,4
keyes_flourishing_scale,34,reading,8
career_development_process,11,reading,1
black_domers,16,reading,12
eportfolio_access_and_link_check,31,reading,3
by_the_numbers,17,reading,7
embracing_vulnerability,28,video,8
the_girl_next_door,24,reading,10
break,36,break,-
long_break,37,break,-
